first_5_words,inhoud,Review,sentiment
Geschreven bij Travelin' Aborg -,Lage Heren Wandelschoenen - Waterdicht en ademend - Donkergrijs - Maat 41 Zit goed aan de voet,,1
Geschreven bij Travelin' Aborg -,Lage Heren Wandelschoenen - Waterdicht en ademend - Donkergrijs - Maat 42 Goede wandelschoen met steun en pasvorm. De binnen zool kan uitgenomen worden zodat je steunzolen kunt plaatsen.,,1
Geschreven bij Geweo Wandelschoenen Dames,Waterdicht - Outdoorschoenen Heren Waterproof- Outdoor Antislip Outdoorschoenen Unisex - Zwart - Maat 42 goed！！,,1
Geschreven bij Geweo Wandelschoenen Dames,Waterdicht - Outdoorschoenen Heren Waterproof- Outdoor Antislip Outdoorschoenen Unisex - Extra Comfort - Zwart - Maat 45 Super goede service en bezorging!,,1
Geschreven bij Grisport Torino Mid,"Wandelschoenen Unisex - Black - Maat 43 Deze schoenen zijn erg slecht. Het eerste paar dat ik bestelde had na +/- 4 (ongeveer 450 kilometer lopen) weken de beide zolen van links naar rechts volledig doorgescheurd. Ik kreeg van Bol (super service!) een nieuw paar toegestuurd en dat is na ongeveer de zelfde tijd en afstand in dezelfde staat. Ik krijg nu mijn geld van Bol terug, maar ik zal dit merk 'schoenen' nooit meer kopen. Wees gewaarschuwd, deze schoenen gaan maximaal 500 kilometer mee!!!",,-1
Geschreven bij Grisport Torino Mid,"Wandelschoenen Unisex - Black - Maat 38 In juni besteld, helaas valt de zool uit nu al volledig uit elkaar. Erg teleurstellend.. de lage variant beviel mij beter, helaas niet meer te verkrijgen",,-1
Geschreven bij Grisport Torino Mid,"Wandelschoenen Unisex - Grey - Maat 40 Ik heb deze schoenen nu 5 x gedragen tijdens wandelingen met de hond. Ik heb ze behandeld met waterafstotende spray , dit helpt voor de bovenkant maar mijn wandelsokken zijn nat aan de onderkant en dit is niet vanwege zweetvoeten!Altijd de duurdere variant grisport gehad deze waren prima helaas zeer teleurgesteld",,-1
Geschreven bij Grisport Torino Mid,"Wandelschoenen Unisex - Dark Blue - Maat 41 na mijn afgedankte wandelschoenen heb ik via bol een goede en lichte wandelschoen gevonden, je loopt er zo mee weg ze zijn niet zwaar en ook niet duur, het materiaal is waterafstotend en de zool is stevig",,-1
Geschreven bij Grisport Torino Mid,Wandelschoenen Unisex - Black - Maat 39 Ze gaan niet lang mee. Maar ik moet er bij zeggen dat ik gemiddeld 300 km per maand loop. Na 3 a 4 maanden zijn ze aan vervanging toe. Ze lopen meteen heel erg lekker daarom bestel ik ze steeds weer opnieuw,,-1
Geschreven bij Grisport Torino Mid,Wandelschoenen Unisex - Azure - Maat 38 Gekocht in september 2019Nu de zool stuk vandaag gebeld krijg weer nieuwe oude weer op sturen,,-1
Geschreven bij Merrell Erie Mid,"Leather WP Wandelschoenen Dames - Zwart - Maat 40 Zitten heerlijk! Goede grip, lekker comfort, licht van gewicht en waterdicht! Top!",,1
Geschreven bij Merrell Erie Mid,Leather WP Wandelschoenen Dames - Zwart - Maat 39 Snelle levering.,,1
Geschreven bij Merrell Erie Mid,Leather WP Wandelschoenen Dames - Zwart - Maat 39 Echt super schoen loopt als sneaker en grip als een bergschoen.,,1
Heb ze net een maand,en nu is de stof van binnen al kapot waardoor ik steeds blaar creer op mijn kleine teen,,-1
dit is een spel wat,"je met het hele gezin kan doen, we hebben er veel om gelachen.en is een gezellig spel",,-1
Fijne soepele schoen met toch,"wat extra steun...geen zere voeten na een lange wandeling, zeker goed voor het geld.",,-1
Geschreven bij Skechers Oak Canyon,"wandelschoenen grijs - Maat 44 Prima pasvorm, lopen lekker",,-1
