ORDER_DETAIL_CODE,ORDER_NUMBER,PRODUCT_NUMBER,QUANTITY,UNIT_COST,UNIT_PRICE,UNIT_SALE_PRICE,RETAILER_NAME,RETAILER_SITE_CODE,RETAILER_CONTACT_CODE,SALES_STAFF_CODE,SALES_BRANCH_CODE,ORDER_DATE,ORDER_METHOD_CODE
78.37,1258,17,92.0,60.29,84.41,48616,VIP Department Stores,13,70,50,18,2021-10-14,7
49058,1258,69,16.0,69.69,104.54,95.83,VIP Department Stores,13,70,50,18,2021-10-14,7
49073,1258,71,26.0,60.5,90.76,,VIP Department Stores,13,70,50,18,2021-10-14,7
98.2,1258,78,103.0,82.69,,49125,VIP Department Stores,13,70,50,18,2021-10-14,7
48577,1258,12,104.0,486.92,633,,VIP Department Stores,13,70,50,18,2021-10-14,7
48617,1352,,190.0,60.29,84.41,67.08,,17,73,52,18,2021-06-20,2
48700,1352,27,52.0,245.44,441.8,441.8,,17,73,52,18,2021-06-20,2
48744,1352,33,116.0,18.2,27.3,27.3,,17,73,52,18,2021-06-20,2
48756,1352,34,346.0,28.94,46.31,39.79,,17,73,52,18,2021-06-20,2
48794,1352,39,67.0,41.65,72,,,17,73,52,18,2021-06-20,2
151.38,1352,42,16.0,100.91,48816,151.38,,17,73,52,18,2021-06-20,2
48846,1352,45,16.0,370.35,555.53,555.53,,17,73,52,18,2021-06-20,2
48853,1352,46,18.0,52.54,73.55,73.55,,17,73,52,18,2021-06-20,2
48885,1352,50,84.0,1.96,3.92,3.92,,17,73,52,18,2021-06-20,2
48929,1352,54,32.0,34.36,51.54,51.54,,17,73,52,18,2021-06-20,2
48943,1352,56,64.0,8.53,17.09,17.09,,17,73,52,18,2021-06-20,2
48979,1352,60,46.0,9.89,19.78,19.78,,17,73,52,18,2021-06-20,2
48986,1352,61,50.0,19.52,39.04,39.04,,17,73,52,18,2021-06-20,2
49043,1352,67,50.0,121.45,255.07,255.07,,17,73,52,18,2021-06-20,2
49202,1352,89,128.0,2.48,6.96,6.96,,17,73,52,18,2021-06-20,2
48479,1352,1,204.0,4.01,6.03,6.03,,17,73,52,18,2021-06-20,2
48574,1352,12,188.0,486.92,633,535.36,,17,73,52,18,2021-06-20,2
48596,1352,15,144.0,504.54,756.82,581.34,,17,73,52,18,2021-06-20,2
48618,1544,17,82.0,60.29,84.41,78.37,VIP Department Stores,13,70,50,18,2021-11-24,2
48628,1544,18,114.0,89.16,133.75,122.61,VIP Department Stores,13,70,50,18,2021-11-24,2
48649,1544,21,74.0,30.28,36.34,34.83,VIP Department Stores,13,70,50,18,2021-11-24,2
16.87,1544,32,374.0,48736,25.31,23.2,VIP Department Stores,13,70,50,18,2021-11-24,2
48619,1249,17,190.0,60.29,84.41,72.26,Ultra Sports,4,6,49,18,2021-04-02,5
48693,1249,26,70.0,217.91,326.86,326.86,Ultra Sports,4,6,49,18,2021-04-02,5
48751,1249,34,252.0,46.31,46.31,28.94,Ultra Sports,4,6,49,18,2021-04-02,5
49266,1249,98,60.0,2.91,5.82,5.82,Ultra Sports,4,6,49,18,2021-04-02,5
48503,1249,4,106.0,7.15,7.15,5.11,Ultra Sports,4,6,49,18,2021-04-02,5
48555,1249,10,96.0,10.23,17.4,17.4,Ultra Sports,4,6,49,18,2021-04-02,5
48620,1268,17,152.0,60.29,84.41,78.05,Falcon Outfitters,19,4,,18,2021-10-10,7
