ORDER_DETAIL_CODE,ORDER_DATE,ORDER_METHOD_CODE,PRODUCT_NUMBER,UNIT_SALE_PRICE
78.37,2021-10-14,7,17,48616
49058,2021-10-14,7,69,95.83
49073,2021-10-14,7,71,
98.2,2021-10-14,7,78,49125
48577,2021-10-14,7,12,
48617,2021-06-20,2,,67.08
48700,2021-06-20,2,27,441.8
48744,2021-06-20,2,33,27.3
48756,2021-06-20,2,34,39.79
48794,2021-06-20,2,39,
151.38,2021-06-20,2,42,151.38
48846,2021-06-20,2,45,555.53
48853,2021-06-20,2,46,73.55
48885,2021-06-20,2,50,3.92
48929,2021-06-20,2,54,51.54
48943,2021-06-20,2,56,17.09
48979,2021-06-20,2,60,19.78
48986,2021-06-20,2,61,39.04
49043,2021-06-20,2,67,255.07
49202,2021-06-20,2,89,6.96
48479,2021-06-20,2,1,6.03
48574,2021-06-20,2,12,535.36
48596,2021-06-20,2,15,581.34
48618,2021-11-24,2,17,78.37
48628,2021-11-24,2,18,122.61
48649,2021-11-24,2,21,34.83
16.87,2021-11-24,2,32,23.2
48619,2021-04-02,5,17,72.26
48693,2021-04-02,5,26,326.86
48751,2021-04-02,5,34,28.94
49266,2021-04-02,5,98,5.82
48503,2021-04-02,5,4,5.11
48555,2021-04-02,5,10,17.4
48620,2021-10-10,7,17,78.05
48660,2021-10-10,7,22,15.28
48874,2021-10-10,7,48,107.86
48901,2021-10-10,7,51,68.94
48923,2021-10-10,7,54,51.54
48934,2021-10-10,7,55,7.8
48992,2021-10-10,7,42,61
49002,2021-10-10,7,62,70.51
49038,2021-10-10,7,67,244.32
49098,2021-10-10,7,108,113.52
49170,2021-10-10,7,84,113.73
48485,2021-10-10,7,1,6.03
48560,2021-10-10,7,10,17.4
48567,2021-10-10,7,11,354.29
48621,2021-09-09,7,17,84.41
48841,2021-09-09,7,44,316.85
48867,2021-09-09,7,48,
48883,2021-09-09,7,50,3.75
48894,2021-09-09,7,51,68.94
28.2,2021-09-09,7,53,39.49
48928,2021-09-09,7,54,51.54
48969,2021-09-09,7,59,59.25
48994,2021-09-09,7,,79.11
49101,2021-09-09,7,75,115.84
49215,2021-09-09,7,90,4.48
49245,2021-09-09,7,95,5.88
48576,2021-09-09,7,12,
48622,2021-03-26,4,18,116.93
48745,2021-03-26,4,33,24.55
49029,2021-03-26,4,65,78
48537,2021-03-26,4,8,134.63
48589,2021-03-26,4,,524.33
48624,2021-04-15,2,18,133.75
48684,2021-04-15,2,25,258.26
48781,2021-04-15,2,37,47.88
49033,2021-04-15,2,66,92.91
49040,2021-04-15,2,67,255.07
49102,2021-04-15,2,75,115.84
49218,2021-04-15,2,91,4.92
49256,2021-04-15,2,97,32.29
48545,2021-04-15,2,9,12.15
48558,2021-04-15,2,10,17.4
48590,2021-04-15,2,14,530.95
48625,2021-03-25,5,18,
48746,2021-03-25,5,33,25.03
49027,2021-03-25,5,65,68.25
48549,2021-03-25,5,9,11.4
48626,2021-09-17,5,18,105.56
48762,2021-09-17,5,35,24.86
48775,2021-09-17,5,36,28.56
48780,2021-09-17,5,37,47.88
48842,2021-09-17,5,44,341.54
48881,2021-09-17,5,50,3.92
49258,2021-09-17,5,97,34.77
48627,2021-11-13,5,18,112.43
22.38,2021-11-13,5,32,48742
48769,2021-11-13,5,35,23.04
48975,2021-11-13,5,60,
49159,2021-11-13,5,83,92.56
48487,2021-11-13,5,2,12.13
48548,2021-11-13,5,9,12.15
48568,2021-11-13,5,11,336.25
48599,2021-11-13,5,15,706.44
48629,2021-09-21,4,,122.61
48768,2021-09-21,4,35,23.25
48773,2021-09-21,4,36,27.6
48802,2021-09-21,4,40,23.51
49178,2021-09-21,4,85,270.2
49275,2021-09-21,4,100,5.01
48490,2021-09-21,4,2,11.43
48501,2021-09-21,4,3,22.84
48522,2021-09-21,4,6,114.58
48559,2021-09-21,4,10,15.61
48600,2021-09-21,4,15,693.75
48630,2021-01-19,2,18,122.61
